id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
181339,1989,1,1989,1989,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 31 March 1989 ""REBELS KILL 26 PEASANTS IN ANDEAN MASSACRE.",,,,Police spokesman,1,Huacrachuco town,Huánuco department,Marañón Province,-8.65,-77.08333,POINT (-77.083330 -8.650000),116846,Peru,135,PER,Americas,1,1,1989-03-31,1989-03-31,1,0,0,10,11,11,11
181364,1989,1,1989,1989,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 10 April 1989 ""40 GUERRILLAS KILLED IN THREE CLASHES IN PERU",,,,Defence Ministry spokesman,5,Pachitea river,,,-9.86,-74.99,POINT (-74.990000 -9.860000),115411,Peru,135,PER,Americas,1,1,1989-04-09,1989-04-09,0,15,0,0,15,15,15
182002,1989,1,1989,1989,1,292,Peru:Government,632,Government of Peru - MRTA,21,135.0,Government of Peru,751,,MRTA,-1,Television Peruana (Lima) 25th April 1989,,,,,1,Contamana town,Loreto department,Ucayali Province,-7.33333,-75.01667,POINT (-75.016670 -7.333330),119010,Peru,135,PER,Americas,1,1,1989-04-25,1989-04-25,0,0,0,1,1,1,1
181853,1991,1,1991,1991,1,292,Peru:Government,632,Government of Peru - MRTA,21,135.0,Government of Peru,751,,MRTA,-1,"R 25 dec 1991 ""TEN DIE IN ATTACK BY LEFTIST REBELS ON PERUVIAN POLICE POST",,,,Police spokesman,1,Juanjui town,San Martín department,Mariscal Cáceres Province,-7.17697,-76.72774,POINT (-76.727740 -7.176970),119007,Peru,135,PER,Americas,1,2,1991-12-23,1991-12-24,5,0,5,0,10,10,10
181967,1989,1,1989,1989,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 10 June 1989 ""PERUVIAN ARMY KILLS SENDERO REBEL LEADER, 20 OTHERS.",,,,Army spokesmen,4,Apurímac department,Apurímac department,,-14.0,-73.0,POINT (-73.000000 -14.000000),109655,Peru,135,PER,Americas,1,1,1989-06-09,1989-06-09,0,15,0,0,15,15,15
181456,1989,1,1989,1989,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 12 Oct 1989 ""PERUVIAN GUERRILLAS KILL 15, INCLUDING THREE MAYORS.",,,,Police spokesman,1,Cajatambo town,Lima department,Cajatambo Province,-10.48333,-77.03333,POINT (-77.033330 -10.483330),114686,Peru,135,PER,Americas,1,1,1989-10-11,1989-10-11,1,0,0,0,1,1,1
181539,1989,1,1989,1989,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 24 Oct 1989 ""PERU CLAMPS STATE-OF-EMERGENCY ON CAPITAL AFTER REBEL ATTACKS.",,,,Military statement,2,Huancavelica town,Huancavelica department,Huancavelica Province,-12.78261,-74.97266,POINT (-74.972660 -12.782610),111091,Peru,135,PER,Americas,1,1,1989-10-23,1989-10-23,13,6,0,0,19,19,19
181932,1989,1,1989,1989,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"The Globe and Mail 10 Jan 1989 ""AROUND THE WORLD Peruvian peasants killed in raids by rebels"" / The New York Times 26 Jan 1989 ""Rebels Disrupting the Eradication of Coca in Peru"" /R 10 Jan 1989 ""TWELVE PEASANTS KILLED BY MAOIST GUERRILLAS.",,,,police spokesman,5,Andean highlands,,,-12.47,-75.6,POINT (-75.600000 -12.470000),111809,Peru,135,PER,Americas,1,1,1989-01-08,1989-01-08,10,0,0,0,10,10,10
181839,1991,1,1991,1991,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 7 Oct 1991 ""FIVE PEOPLE WOUNDED AT START OF STRIKE CALLED BY GUERRILLAS."" /R 8 Oct 1991 ""GUERRILLAS KILL EIGHT MEMBERS OF PEASANT MILITIA IN PERU.",,,,police spokesman,1,Rumihuasi town,Ayacucho department,Parinacochas Province,-15.24774,-73.86949,POINT (-73.869490 -15.247740),107493,Peru,135,PER,Americas,1,1,1991-10-06,1991-10-06,10,14,0,0,24,24,24
