Cod,title,year,Decade,lifetime_gross,ratingInteger,ratingCount,duration,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
L000291,THE FOUR HORSEMEN OF THE APOCALYPSE,1921,1920s,9183673,8,2241,9000,1,0,11,38,37,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L000001,METROPOLIS,1927,1920s,1236166,8,81007,9180,3,4,67,428,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
L000002,CITY LIGHTS,1931,1930s,19181,9,70057,5220,2,0,38,187,186,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L000003,MODERN TIMES,1936,1930s,163577,9,90847,5220,3,1,44,27,180,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L000527,SNOW WHITE AND THE SEVEN DWARFS,1937,1930s,184925486,8,92722,4980,10,3,98,428,174,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L000004,GONE WITH THE WIND,1939,1930s,198676459,8,160414,14280,10,6,143,1263,653,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L000005,THE WIZARD OF OZ,1939,1930s,22342633,8,209506,6120,6,12,126,2363,477,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L001400,PINOCCHIO,1940,1940s,84254167,8,56697,5280,2,0,63,179,124,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L000006,CITIZEN KANE,1941,1940s,1585634,9,228617,7140,7,10,103,1439,1101,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L000223,SERGEANT YORK,1941,1940s,16361885,8,10521,8040,3,9,16,18,84,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L000007,CASABLANCA,1942,1940s,4108411,9,296802,6120,5,6,153,382,960,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L001477,BAMBI,1942,1940s,102247150,7,63109,3900,3,1,35,94,119,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L001662,THE BELLS OF ST. MARY'S,1945,1940s,21333333,8,4430,5280,3,7,16,3,45,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
